variable,n,group_beta,group_se,group_ci_low,group_ci_high,group_p_raw,partial_eta2,r_squared,adj_r_squared,q_fdr_bh
PLANNING_MATT,96,-3.499429829524745,2.8439852810863036,-9.073538553015922,2.074678893966432,0.21852230447806553,0.016365610167922737,0.07460670809748793,0.033930079881992814,0.6195714987921974
PWM_TR_LN,84,-0.18547780512911793,0.15164027674377478,-0.48268728615260326,0.11173167589436739,0.22127553528292765,0.01858574733275862,0.08234078689478097,0.03587702926920022,0.6195714987921974
TOL_TE_LN,100,-0.05329008470362423,0.05044103141366985,-0.15215268961747064,0.045572520210222164,0.29074767136257684,0.011612574429861211,0.2579920306696072,0.22674958985569593,0.6738786496464686
TOL_TE,100,-7.183900782271031,6.828364197767724,-20.56724868321851,6.199447118676447,0.2927685326510526,0.011516830415263976,0.2427581981793132,0.21087433283949486,0.6738786496464686
PWM_TE_LN,74,-0.1810668096860256,0.17957120619171626,-0.5330199064822054,0.17088628711015422,0.3132966658750521,0.014521199597028403,0.06032946450675902,0.005855810275266715,0.6738786496464686
PLANNING_TE,96,-18.227978207358,18.91853422612231,-55.30762393084607,18.85166751613007,0.3352974468265748,0.010098402210208737,0.11412405693074656,0.07518445503759252,0.6738786496464686
PLANNING_MATTI_MIN,96,-0.8261594671437671,0.883781015973462,-2.558338428671971,0.9060194943844366,0.34989081186951343,0.009511444983890172,0.01975586933936413,-0.02333178475560893,0.6738786496464686
PWM_MATT,96,-3.4551076237333898,3.6977130418697146,-10.702492010962079,3.7922767634952996,0.35010254019854914,0.009503168892007365,0.023347528916828342,-0.01958225003188252,0.6738786496464686
PWM_PERC,100,1.971095583950747,2.2766976059488484,-2.4911497273975596,6.433340895299054,0.3866165213434921,0.007828307827740546,0.05937825336589564,0.01977312719182822,0.6738786496464686
PWM_TR,96,-9.97007705055656,12.09906010775677,-33.68379910854514,13.743645007432017,0.40991835372299334,0.007406682281847605,0.05798110417702307,0.016573680184804207,0.6738786496464686
WM_TRIAL,96,0.2513191698916112,0.3157344085598755,-0.3675088995657998,0.8701472393490222,0.42604201190200297,0.006914371510305341,0.1368228143802952,0.09888096006734104,0.6738786496464686
PLANNING_TRIAL,96,-0.15412624519867524,0.1940393529270585,-0.5344363885191666,0.22618389812181616,0.42701844293381697,0.00688543716359005,0.11360943009461366,0.07464720724162954,0.6738786496464686
TOL_VIO_REG,101,0.2106511388507284,0.2771104938688009,-0.33247544887022884,0.7537777265716856,0.44715285678866357,0.005983345838844745,0.2341770903912741,0.20226780249091048,0.6738786496464686
PLANNING_SPAN,96,-0.09398154053369306,0.12539363025847805,-0.339748539731042,0.15178545866365586,0.45356063311706707,0.0061350786942048615,0.01675006033958959,-0.026469717227901146,0.6738786496464686
PLANNING_TR,96,-14.204173131960866,19.20023525443902,-51.83594272535758,23.427596461435854,0.45942644495292373,0.005978239556256566,0.33468285795646113,0.30543814841608574,0.6738786496464686
PLANNING_ACC,96,-0.19393741459263164,0.2656123164843969,-0.7145279887523042,0.32665315956704083,0.4652971628511331,0.005824363986947043,0.005406185175963252,-0.03831222426685166,0.6738786496464686
PLANNING_EFF,101,-1.5662071532334667,2.5008102211804415,-6.467705118916779,3.3352908124498453,0.5311313735448908,0.004069067769829101,0.09434042272953169,0.056604607009928753,0.7354069328549683
PWM_TRIAL,96,-0.2529132679962448,0.4409961899123268,-1.1172499175437913,0.6114233815513016,0.5663032012862395,0.0036013496653264053,0.01763482608951128,-0.02554606067578491,0.7354069328549683
TOL_TR,101,6.908133803649254,12.205837581899202,-17.014868258018645,30.83113586531715,0.5714144023665525,0.003325587537907314,0.22477374165301423,0.1924726475552231,0.7354069328549683
TOL_ACC,98,-0.3538314825097434,0.6357332700036844,-1.5998457954908427,0.8921828304713558,0.577819732957475,0.0033198306695811607,0.16099296288024556,0.12490663870305185,0.7354069328549683
TOL_TR_LN,101,0.029249839269730474,0.05563959896870904,-0.07980177082319118,0.13830144936265212,0.5990953887357382,0.0028705116422125592,0.22758661188054174,0.19540272070889764,0.7400590096147354
PLANNING_PERC,100,0.9376242069407754,2.0208153058013414,-3.0231010118371495,4.8983494257187,0.6426598336265512,0.0022609852368773867,0.09946836949835647,0.06155124821407687,0.7711918003518615
PWM_COMPOSITE,95,0.980126843535583,2.331072415624919,-3.5886911364440426,5.548944823515209,0.6741481487017187,0.001960461303132074,0.03123238515693527,-0.011823953280534427,0.7865061734853385
PWM_ACC,96,0.1174028878303186,0.6349672157931164,-1.1271099864878622,1.3619157621484994,0.8533106214094553,0.00037553501608075075,0.007323699893526769,-0.036310423188076424,0.9636623130987814
PLANNING_TP,96,-1.0021252084602428,6.214164712700549,-13.18166423935301,11.177413822432525,0.8718849499465164,0.00028570179184060705,0.05685836373549169,0.015401588515073672,0.9636623130987814
PWM_MATT_MIN,96,-0.3456240096288532,3.217605122595154,-6.65201416638694,5.960766147129234,0.9144585333341166,0.00012677857442793734,0.0178169937773911,-0.0253558856170093,0.9671933306957884
PLANNING_TP_LN,96,-0.009774314654976746,0.098728234597141,-0.20327809872259445,0.18372946941264096,0.9211365054245604,0.00010769653287448987,0.1452946445876605,0.10772517841568952,0.9671933306957884
PLANNING_COMPOSITE,96,0.10025410622374009,1.4819735238428708,-2.804360626550198,3.004868838997678,0.9460650057486066,5.028751984707906e-05,0.014130926391060283,-0.029203977943398574,0.9691397619863774
PLANNING_OST,96,-0.001548572796503389,0.1750877588310966,-0.3447142742392875,0.34161712864628074,0.9929431604761186,8.596267444012254e-07,0.07915900432420964,0.0386824770417572,0.9929431604761186
