participant_id,occasion,span_wm,accuracy_wm,span_planning,accuracy_planning,span_wmplanning,accuracy_wmplanning,route_efficiency_pct_planning,route_efficiency_pct_wmplanning,wm_mean_total_time,wm_mean_planning_time,wm_mean_execution_time,planning_mean_total_time,planning_mean_planning_time,planning_mean_execution_time,wmplanning_mean_total_time,wmplanning_mean_planning_time,wmplanning_mean_execution_time
GC10,PRE,0,0,8,10,5,8,96.363636,100.0,,,,36.571429,3.0,33.571429,29.75,1.0,28.75
GC10,POST,0,0,9,16,3,3,92.5,100.0,,,,30.625,3.0,27.625,40.0,1.0,39.0
GC11,PRE,2,1,8,10,4,6,89.814815,100.0,10.0,0.0,10.0,37.285714,3.0,34.285714,32.666667,1.0,31.666667
GC11,POST,2,2,9,16,5,7,95.833333,95.0,7.0,0.0,7.0,25.75,3.0,22.75,20.5,1.0,19.5
SPR1,PRE,4,5,9,15,0,0,77.829254,,6.0,0.0,6.0,25.875,3.0,22.875,,,
SPR1,POST,3,3,9,15,3,4,68.992674,81.25,8.0,0.0,8.0,38.125,3.0,35.125,30.5,1.0,29.5
SPR2,PRE,5,6,9,16,5,6,81.534091,95.0,5.75,0.0,5.75,19.875,3.0,16.875,16.5,1.0,15.5
SPR2,POST,3,4,9,16,3,4,97.5,91.666666,4.5,0.0,4.5,18.625,3.0,15.625,17.0,1.0,16.0
SPR3,PRE,,,,,,,,,,,,,,,,,
SPR3,POST,4,6,9,16,3,4,90.625,75.714286,6.666667,0.0,6.666667,18.375,3.0,15.375,21.5,1.0,20.5
SPR4,PRE,3,4,9,16,6,9,75.806624,89.030303,5.0,0.0,5.0,33.5,3.0,30.5,25.2,1.0,24.2
SPR4,POST,4,6,9,15,8,12,97.5,71.43206,8.666667,0.0,8.666667,16.75,3.0,13.75,30.428571,1.0,29.428571
SPR5,PRE,2,2,9,16,5,7,97.916667,90.833333,4.0,0.0,4.0,24.0,3.0,21.0,21.0,1.0,20.0
SPR5,POST,2,2,9,16,0,0,86.079545,,4.0,0.0,4.0,36.875,3.0,33.875,,,
SPR6,PRE,3,4,9,16,5,8,97.5,90.833333,4.0,0.0,4.0,20.75,3.0,17.75,21.5,1.0,20.5
SPR6,POST,5,7,9,16,0,0,97.916667,,8.75,0.0,8.75,27.0,3.0,24.0,,,
SPR7,PRE,3,4,9,16,5,8,100.0,100.0,8.0,0.0,8.0,17.375,3.0,14.375,23.0,1.0,22.0
SPR7,POST,3,4,9,16,6,9,87.455357,96.666667,9.5,0.0,9.5,20.75,3.0,17.75,28.4,1.0,27.4
SPR8,PRE,0,0,9,16,5,7,74.589161,78.333333,,,,37.0,3.0,34.0,47.75,1.0,46.75
SPR8,POST,3,2,9,16,5,7,87.092352,80.119047,5.5,0.0,5.5,39.375,3.0,36.375,39.0,1.0,38.0
SPR11,PRE,4,6,9,16,3,4,93.560606,91.666666,8.0,0.0,8.0,35.75,3.0,32.75,30.5,1.0,29.5
SPR11,POST,4,5,9,16,4,6,92.222222,88.888889,7.666667,0.0,7.666667,19.75,3.0,16.75,24.666667,1.0,23.666667
SPR12,PRE,2,2,9,16,3,4,95.833333,85.714286,7.0,0.0,7.0,24.0,3.0,21.0,22.0,1.0,21.0
SPR12,POST,0,0,9,16,4,5,97.916667,87.777778,,,,19.25,3.0,16.25,21.0,1.0,20.0
SPR13,PRE,2,1,8,14,4,6,88.253968,90.47619,13.0,0.0,13.0,60.857143,3.0,57.857143,52.333333,1.0,51.333333
SPR13,POST,2,2,9,16,6,8,100.0,92.666667,3.0,0.0,3.0,44.125,3.0,41.125,35.8,1.0,34.8
SPR14,PRE,3,2,9,15,6,7,96.875,100.0,5.0,0.0,5.0,22.75,3.0,19.75,28.2,1.0,27.2
SPR14,POST,3,2,8,8,3,3,100.0,71.25,7.5,0.0,7.5,28.857143,3.0,25.857143,29.0,1.0,28.0
SPR15,PRE,3,4,9,16,8,13,92.708333,88.899196,6.5,0.0,6.5,21.5,3.0,18.5,26.285714,1.0,25.285714
SPR15,POST,0,0,9,16,2,2,94.070513,100.0,,,,25.75,3.0,22.75,19.0,1.0,18.0
SPR16,PRE,2,1,9,16,6,8,93.560606,100.0,3.0,0.0,3.0,30.0,3.0,27.0,27.6,1.0,26.6
SPR16,POST,3,4,9,16,4,5,97.5,93.333333,4.5,0.0,4.5,19.875,3.0,16.875,22.666667,1.0,21.666667
SPR17,PRE,3,3,8,14,6,9,72.142857,77.725955,6.0,0.0,6.0,26.714286,3.0,23.714286,23.4,1.0,22.4
SPR17,POST,3,4,9,16,4,5,83.75,76.666667,5.5,0.0,5.5,15.875,3.0,12.875,19.666667,1.0,18.666667
SPR18,PRE,4,4,6,8,0,0,83.75,,7.666667,0.0,7.666667,22.4,3.0,19.4,,,
SPR18,POST,3,3,9,16,4,4,97.5,100.0,8.5,0.0,8.5,17.375,3.0,14.375,17.0,1.0,16.0
SPR19,PRE,3,3,9,16,5,6,86.319445,100.0,6.0,0.0,6.0,27.875,3.0,24.875,20.25,1.0,19.25
