participant_id,occasion,score_field,database_column,source,original_value,output_value
EXP10,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,historical_original,100,100
EXP10,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,92.86,57.936508
EXP10,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,historical_original,56.25,56.25
EXP11,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,historical_original,100,100
EXP11,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,historical_original,100,100
EXP11,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,historical_original,100,100
EXP11,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,historical_original,100,100
EXP12,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,78.48,81.704545
EXP12,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,historical_original,79.22,79.22
EXP12,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,80,100.0
EXP12,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,historical_original,100,100
EXP13,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,historical_original,91.04,91.04
EXP13,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,historical_original,93.85,93.85
EXP13,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,historical_original,82.61,82.61
EXP13,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,historical_original,100,100
EXP14,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,historical_original,91.04,91.04
EXP14,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,historical_original,65.59,65.59
EXP14,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,historical_original,100,100
EXP14,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,historical_original,86.36,86.36
EXP15,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,93.85,95.833333
EXP15,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,historical_original,83.56,83.56
EXP15,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,80,80.0
EXP15,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,historical_original,100,100
EXP16,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,70.11,72.223471
EXP16,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,historical_original,67.03,67.03
EXP16,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,95,95.833333
EXP16,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,historical_original,64.29,64.29
GC03,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,78.48,75.064935
GC03,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,96.83,97.727273
GC03,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,80,80.0
GC03,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,912.5,100.0
GC04,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,83.56,84.027778
GC04,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,93.85,95.416667
GC04,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,75,75.714286
GC04,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,93.55,93.939394
GC05,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,57.89,92.102273
GC05,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,91.04,93.75
GC05,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,90.48,91.666666
GC05,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,100,100.0
GC06,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,67.74,67.407117
GC06,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,70.11,75.499084
GC06,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,81.82,81.818182
GC06,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,92.16,93.030303
GC07,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,96.83,97.5
GC07,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,113.21,92.857143
GC07,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,100,100.0
GC07,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,105.56,55.555556
GC08,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,75.31,77.8364
GC08,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,96.83,97.5
GC08,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,77.27,78.333334
GC08,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,94.74,95.0
GC09,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,79.22,85.320513
GC09,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,112.96,100.0
GC09,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,81.82,81.666666
GC09,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,82.35,84.920635
GC10,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,94.03,96.363636
GC10,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,"94,03",92.5
GC10,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,100,100.0
GC10,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,100,100.0
GC11,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,81.82,89.814815
GC11,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,93.85,95.833333
GC11,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,100,100.0
GC11,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,94.44,95.0
SPR1,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,75,77.829254
SPR1,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,58.1,68.992674
SPR1,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,historical_original,81.82,81.82
SPR1,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,75,81.25
SPR2,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,79.22,81.534091
SPR2,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,96.83,97.5
SPR2,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,95,95.0
SPR2,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,90,91.666666
SPR3,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,historical_original,,
SPR3,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,88.41,90.625
SPR3,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,historical_original,,
SPR3,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,75,75.714286
SPR4,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,75.31,75.806624
SPR4,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,96.83,97.5
SPR4,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,88.68,89.030303
SPR4,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,69.57,71.43206
SPR5,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,96.83,97.916667
SPR5,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,96.83,86.079545
SPR5,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,7,90.833333
SPR5,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,historical_original,90,90
SPR6,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,96.83,97.5
SPR6,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,96.83,97.916667
SPR6,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,90,90.833333
SPR6,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,historical_original,69.23,69.23
SPR7,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,8,100.0
SPR7,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,100,87.455357
SPR7,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,6,100.0
SPR7,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,100,96.666667
SPR8,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,71.76,74.589161
SPR8,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,83.56,87.092352
