variable,n_obs,n_ids,interaction_beta,interaction_se,interaction_ci_low,interaction_ci_high,interaction_p_raw,partial_eta2_approx,aic,converged,method,q_fdr_bh
TOL_TP_LN,198,99,0.12957107175036225,0.13293525007201956,-0.1309772306666217,0.3901193741673462,0.3297125137992315,0.009901265100958918,332.1902447679249,True,powell,0.7095261190609672
RAVEN_T,198,99,16.732558139534447,17.2452825797693,-17.06757462002937,50.53269089909826,0.33191256800271796,0.009812460171505418,2238.56301924329,True,powell,0.7095261190609672
RAVEN_T_LN,198,99,0.047362756207496734,0.04884184025722753,-0.048365491635327745,0.1430910040503212,0.33218764172708215,0.009801410878150292,-84.71703438040618,True,lbfgs,0.7095261190609672
PLANNING_MATT,193,99,-3.6755958850551997,3.819901856919464,-11.162465949095024,3.811274178984624,0.33593780047202093,0.009651956283823869,1601.9224681603237,True,lbfgs,0.7095261190609672
PWM_TE_LN,167,95,-0.19563489883591698,0.2043621574707026,-0.5961773672813973,0.20490756960956327,0.33841831091595276,0.009970079697185188,343.73727957309166,True,powell,0.7095261190609672
PLANNING_ACC,193,99,-0.4770177231653368,0.5071099357927983,-1.4709349335216406,0.5168994871909671,0.34687943598536175,0.009228154192927239,775.5085046034646,True,powell,0.7095261190609672
PLANNING_COMPOSITE,193,99,-1.8275217166327404,2.0832797739247475,-5.910675043245992,2.2556316099805107,0.3803601081420426,0.008035307607248448,1339.9311832207982,True,powell,0.7441828202779093
PLANNING_TR_LN,193,99,-0.08022539648462461,0.10042590556094234,-0.2770565544988923,0.11660576152964312,0.42437645969726434,0.006672690807182552,240.53799188591074,True,powell,0.7957058619323707
WM_TRIAL,193,99,0.2368766976091085,0.4037415569203377,-0.5544422130168816,1.0281956082350987,0.5574026686102032,0.003610300873418097,690.8039925917365,True,powell,0.9246609671505167
TOL_TR,198,99,-8.231312292358579,14.600358718046607,-36.84748954109532,20.384864956378166,0.5729074983251752,0.0033345474738780503,2199.616511000123,True,powell,0.9246609671505167
PWM_COMPOSITE,192,99,1.6503662966149641,2.9406280062583328,-4.113158687581192,7.4138912808111215,0.574641301026865,0.0033046035180538855,1444.9539867592362,True,powell,0.9246609671505167
TOL_TR_LN,198,99,-0.03932430206852577,0.07019718699102616,-0.17690826038696064,0.0982596562499091,0.5753446017825438,0.003292507301049329,82.58191805125489,True,powell,0.9246609671505167
PWM_TP_LN,180,99,0.3312328261375646,0.6437434533479873,-0.930481157707931,1.5929468099830602,0.6068733404496063,0.0027791298760492084,794.871895109053,True,powell,0.9270053181611086
TOL_ACC,195,99,-0.4171492966047117,0.8400365993036157,-2.0635907769353032,1.22929218372588,0.6194819665266629,0.0025890304007565395,1049.753763656419,True,powell,0.9270053181611086
PLANNING_TRIAL,193,99,-0.10539717790794101,0.23890583181448619,-0.5736440039609174,0.36284964814503534,0.6590926809974909,0.0020445231063246972,535.9569599039392,True,powell,0.9270053181611086
Raven_ACC,198,99,0.3675249169435149,0.8333657799950587,-1.2658419977949305,2.0008918316819604,0.6592037818034551,0.002043103783059206,1128.034894887756,True,lbfgs,0.9270053181611086
PWM_MATT,193,99,-1.8610192615807408,4.692469692813755,-11.058090858041432,7.336052334879949,0.691664687363526,0.0016529386023785284,1634.340555583503,True,powell,0.943179119132081
PLANNING_EFF,198,99,-1.0494186046511587,2.916086015739534,-6.764842171321547,4.66600496201923,0.7189426265855664,0.001361387025355404,1549.934393584226,True,powell,0.9515417116573675
PWM_TRIAL,193,99,-0.15726132779478633,0.5742888857035987,-1.2828468604954792,0.9683242049059066,0.7842101795840825,0.0007887089720205958,823.5288370624612,True,powell,0.9627990253996024
PWM_ACC,193,99,0.19974743240084186,0.771848704608341,-1.3130482301454012,1.712543094947085,0.7957965680382958,0.0007044795441219061,937.6101984620122,True,powell,0.9627990253996024
PWM_TR_LN,181,99,-0.045571340543719266,0.19015091926425529,-0.4182602939288432,0.32711761284140467,0.8105947793972932,0.0006042277295947291,358.69051962905417,True,powell,0.9627990253996024
PLANNING_PERC,197,99,-0.5617779009969686,2.375195600926533,-5.217075735050945,4.093519933057007,0.8130302881152198,0.0005885065164031258,1464.7197949297565,True,powell,0.9627990253996024
PWM_TR,193,99,-2.484367569143946,14.92659630553625,-31.739958739763626,26.771223601475736,0.8678114945861986,0.0002915143252392697,2086.7137398323916,True,powell,0.9917913883221023
PWM_MATT_MIN,193,99,-0.5288654956796297,3.9838001919054227,-8.336970393418014,7.279239402058755,0.8943879180667107,0.00018547748836372912,1571.1451072337804,True,powell,0.9917913883221023
PWM_OST,193,99,0.017424564213053783,0.23679244545182884,-0.44668010068369607,0.4815292291098036,0.9413399614541329,5.6995400051254716e-05,491.5229068229455,True,powell,0.9917913883221023
PWM_TE,193,99,-127.13043577607414,2625.934202932942,-5273.866899296534,5019.606027744385,0.9613867702070321,2.467158614333248e-05,4076.64796110693,True,powell,0.9917913883221023
PWM_TP,193,99,-101.48344988344888,2839.6548995899407,-5667.104781602436,5464.137881835538,0.9714913087221035,1.3444042388798448e-05,4105.609932163321,True,lbfgs,0.9917913883221023
PLANNING_TR,193,99,-0.3981716052343868,24.496794922325577,-48.41100738965619,47.614664179187415,0.9870317325549521,2.7809759048319485e-06,2370.6964457787626,True,powell,0.9917913883221023
PLANNING_SPAN,193,99,-0.002100388826792304,0.20415611297173406,-0.4022390174750816,0.398038239821497,0.9917913883221023,1.1141676199317962e-06,424.30905655427296,True,powell,0.9917913883221023
