"block","model_type","outcome","outcome_label","pre_col","outcome_family","n","predictor","predictor_label","predictor_family","status","beta_standardized","se_hc3","ci_low","ci_high","p_value","r_squared","adj_r_squared","age_only_r_squared","delta_r_squared_vs_age","partial_r_squared","vif","formula","residual_skewness","residual_excess_kurtosis","max_abs_studentized_residual","max_leverage","max_cooks_distance","cooks_threshold_4_over_n","n_cooks_above_threshold","breusch_pagan_p","q_fdr_bh","significant_raw_p05","significant_fdr05"
"abas_subscales","separate","PWM_ACC","Moles WM-planning accuracy","PWM_ACC_PRE","Moles working-memory planning",92,"ABAS_school_liv","ABAS School Living","ABAS-II","ok",0.0547822825345344,0.117285519558777,-0.175093111708737,0.284657676777806,0.640439214205046,0.0352715293020913,0.0135922378257338,0.0328572528004428,0.00241427650164848,0.00249629799596723,,"outcome_z ~ ABAS_school_liv_z + age_z",0.0239006324313363,-0.298110917047567,3.06085758724734,0.133558190651916,0.0869975473851863,0.0434782608695652,6,0.157598922535514,0.746625430094908,"False","False"
"abas_subscales","separate","PWM_ACC","Moles WM-planning accuracy","PWM_ACC_PRE","Moles working-memory planning",92,"ABAS_Selfcare","ABAS Self-Care","ABAS-II","ok",-0.0656246205631133,0.142001024338749,-0.343941514034856,0.21269227290863,0.643979577849525,0.0363246381207896,0.0146690120111443,0.0328572528004428,0.00346738532034674,0.00358518463834528,,"outcome_z ~ ABAS_Selfcare_z + age_z",-0.0562796941148892,-0.302427204565399,2.95904872512622,0.134544248069728,0.123980985160151,0.0434782608695652,6,0.206040293266673,0.746625430094908,"False","False"
"abas_subscales","separate","WM_ACC","Moles working-memory accuracy","WM_ACC_PRE","Moles working memory",92,"ABAS_Selfdirection","ABAS Self-Direction","ABAS-II","ok",0.0441929323981134,0.0958084527310273,-0.143588184369208,0.231974049165435,0.644609642142776,0.101208326300609,0.0810107605994993,0.0995302007892499,0.00167812551135939,0.0018636110981516,,"outcome_z ~ ABAS_Selfdirection_z + age_z",1.15179075111238,2.45069555984624,4.50680551171348,0.121457522244162,0.117321997440187,0.0434782608695652,6,0.941869655691319,0.746625430094908,"False","False"
"abas_subscales","separate","PWM_EFF","Moles WM-planning tile difference (EFF)","PWM_EFF_PRE","Moles working-memory planning",97,"ABAS_Selfcare","ABAS Self-Care","ABAS-II","ok",-0.0667383335298878,0.148576058048709,-0.357942056270289,0.224465389210514,0.653297251333044,0.0166779723417044,-0.00424377292762101,0.0131637378598477,0.00351423448185671,0.00356111202707052,,"outcome_z ~ ABAS_Selfcare_z + age_z",-2.7121076471589,18.103880395789,8.4960332003372,0.119004429698895,0.637809816253101,0.0412371134020619,5,0.23018707254201,0.746625430094908,"False","False"
"abas_subscales","separate","WM_ACC","Moles working-memory accuracy","WM_ACC_PRE","Moles working memory",92,"ABAS_soc","ABAS Social","ABAS-II","ok",0.0292857667342276,0.0872947309131758,-0.141808761895712,0.200380295364167,0.737261902443258,0.100313593281158,0.0800959212200609,0.0995302007892499,0.000783392491908633,0.000869981972294137,,"outcome_z ~ ABAS_soc_z + age_z",1.15237953660045,2.4565100646096,4.50678680434087,0.11007632936626,0.113093031327839,0.0434782608695652,4,0.970431515059981,0.829419640248665,"False","False"
"abas_subscales","separate","WM_ACC","Moles working-memory accuracy","WM_ACC_PRE","Moles working memory",92,"ABAS_Selfcare","ABAS Self-Care","ABAS-II","ok",-0.0317307261499962,0.10615554927916,-0.239791779496218,0.176330327196225,0.765010363465509,0.100340841699611,0.0801237819625231,0.0995302007892499,0.000810640910360733,0.000900242196985811,,"outcome_z ~ ABAS_Selfcare_z + age_z",1.15167623721542,2.50003903314408,4.51161414606892,0.134544248069728,0.10474672310627,0.0434782608695652,6,0.956473247432918,0.84739609491564,"False","False"
"abas_subscales","separate","PWM_ACC","Moles WM-planning accuracy","PWM_ACC_PRE","Moles working-memory planning",92,"ABAS_soc","ABAS Social","ABAS-II","ok",-0.0267473643436241,0.130228377918337,-0.281990294828636,0.228495566141388,0.837268885505611,0.0335107266222026,0.011791866546297,0.0328572528004428,0.00065347382175978,0.000675674634020722,,"outcome_z ~ ABAS_soc_z + age_z",-0.0349506202799325,-0.296151327981409,2.99346500612207,0.11007632936626,0.161779175105066,0.0434782608695652,5,0.136311562768765,0.896480840738876,"False","False"
"abas_subscales","separate","PLANNING_ACC","Moles planning accuracy","PLANNING_ACC_PRE","Moles planning",92,"ABAS_Leisure","ABAS Leisure","ABAS-II","ok",-0.015450856719056,0.0777323474360074,-0.167803458127385,0.136901744689273,0.842442684171995,0.0271454474598687,0.00528354740278703,0.0269244887360771,0.000220958723791579,0.000227072535721982,,"outcome_z ~ ABAS_Leisure_z + age_z",-3.8189665792651,16.4871801881263,7.71726872823522,0.137432608519786,0.892719264278381,0.0434782608695652,3,0.203193388426559,0.896480840738876,"False","False"
"abas_subscales","separate","CBT_B_SPAN","Corsi backward span","CBT_B_SPAN_PRE","Corsi",97,"ABAS_soc","ABAS Social","ABAS-II","ok",0.0194626456978465,0.103168329498179,-0.182743564463746,0.221668855859439,0.850367595292097,0.105576917957615,0.0865466396162874,0.10523888295088,0.000338035006734655,0.000377793581207117,,"outcome_z ~ ABAS_soc_z + age_z",-0.085511183034292,-1.19638698362755,1.6968960011021,0.0986908131513331,0.07231810797788,0.0412371134020619,3,0.755793359767244,0.896480840738876,"False","False"
"abas_subscales","separate","PWM_EFF","Moles WM-planning tile difference (EFF)","PWM_EFF_PRE","Moles working-memory planning",97,"ABAS_school_liv","ABAS School Living","ABAS-II","ok",0.015452612516373,0.0934690635713202,-0.167743385752099,0.198648610784845,0.868689533213525,0.0133538549518748,-0.00763861621936179,0.0131637378598477,0.000190117092027145,0.000192653127292508,,"outcome_z ~ ABAS_school_liv_z + age_z",-2.8425788617116,19.1736530923772,8.56295146955347,0.130177090512583,0.317145831096238,0.0412371134020619,4,0.434587456154003,0.896480840738876,"False","False"
