variable,n_obs,n_ids,interaction_beta,interaction_se,interaction_ci_low,interaction_ci_high,interaction_p_raw,aic,converged,method,q_fdr_bh
PWM_ACC,197,101,0.3828496778264179,0.7889218382894413,-1.1634087118380196,1.9291080674908554,0.6274762228620681,969.6150151848556,True,powell,0.862387268029094
PLANNING_TRIAL,197,101,-0.1141492910083275,0.23789955350470643,-0.5804238478157117,0.3521252657990567,0.6313544120728315,546.8669501475583,True,powell,0.862387268029094
TOL_TR,202,101,-6.864035087719437,14.350082722501979,-34.989680398993805,21.26161022355493,0.6324173298880023,2246.1172952139264,True,powell,0.862387268029094
PLANNING_EFF,202,101,-0.9322169059011096,2.8866871432097305,-6.590019741226998,4.7255859294247795,0.7467432639551732,1579.0680098911225,True,powell,0.988336672881847
PWM_TRIAL,197,101,-0.14014114076391435,0.5737363265126453,-1.2646436773510121,0.9843613958231834,0.807029048115318,844.1634832971131,True,powell,0.9890891708591921
PWM_OST,197,101,-0.04886872054008422,0.23647474806684612,-0.5123507100042853,0.41461326892411693,0.8362791995226657,504.13710862533753,True,powell,0.9890891708591921
Raven_ACC,202,101,0.16068580542263008,0.8294090270355301,-1.4649260160194169,1.786297626864677,0.846383151247418,1158.8818549079238,True,lbfgs,0.9890891708591921
PLANNING_PERC,201,101,-0.41347718406896694,2.3749617267988317,-5.068316633255732,4.2413622651177985,0.8617880818476039,1494.6354117124695,True,powell,0.9890891708591921
PLANNING_TR,197,101,3.9997285593603573,24.210766616752114,-43.45250204757844,51.451959166299154,0.8687829920491332,2425.465568744918,True,lbfgs,0.9890891708591921
PWM_TR,197,101,2.4078393859062643,15.841502942719174,-28.6409358428086,33.45661461462113,0.8791903740970597,2151.545713017826,True,powell,0.9890891708591921
PWM_MATT_MIN,197,101,0.23474628940267236,4.057695715071108,-7.718191172359201,8.187683751164545,0.9538664238763453,1614.8984141561173,True,lbfgs,0.9997157807632604
PWM_TP,197,101,103.82998179229543,2574.595378733692,-4942.284235289001,5149.944198873592,0.9678311049449778,4157.306515238691,True,powell,0.9997157807632604
PWM_TE,197,101,-99.98038164271146,2574.2658561450075,-5145.448746318094,4945.487983032672,0.9690192246187176,4157.256099522219,True,powell,0.9997157807632604
PLANNING_SPAN,197,101,-0.001614119509681932,0.2000477287649966,-0.3937004630781127,0.3904722240587488,0.9935622010312267,429.0398689873434,True,lbfgs,0.9997157807632604
PWM_TR_LN,185,101,6.835020803510562e-05,0.19187854837395377,-0.3760066940107408,0.376143394426811,0.9997157807632604,374.0076669282703,True,lbfgs,0.9997157807632604
