ID,group,sex,age,class,section,hand,semestre,"eta_2 (gruppo 1 5 e 6 anni del primo semestre, gruppo 2 6 anni e 7 anni primo semestre e gruppo 3 7 anni secondo semestre ",NOTE,CBT_F_SPAN_PRE,CBT_B_SPAN_PRE,TOL_TP_PRE,TOL_TE_PRE,TOL_TR_PRE,TOL_ACC_PRE,TOL_VIO_REG_PRE,Raven_ACC_PRE,RAVEN_T_PRE,WM_SPAN_PRE,WM_TRIAL_PRE,WM_ACC_PRE,PLANNING_TP_PRE,PLANNING_TE_PRE,PLANNING_TR_PRE,PLANNING_SPAN_PRE,PLANNING_TRIAL_PRE,PLANNING_ACC_PRE,PLANNING_OST_PRE,PLANNING_MATT_PRE,PLANNING_MATTI_MIN_PRE,PLANNING_PERC_PRE,PWM_TP_PRE,PWM_TE_PRE,PWM_TR_PRE,PWM_TRIAL_PRE,PWM_ACC_PRE,PWM_OST_PRE,PWM_MATT_PRE,PWM_ MATT_MIN_PRE,PWM_PERC_PRE,ABAS_comm_use,ABAS_comm_use_supp,ABAS_fun_acc,ABAS_fun_acc_suppongo,ABAS_school_liv,ABAS_school_liv_suppongo,ABAS_Health_saf_sic,ABAS_Health_saf_suppongo,ABAS_Leisure,ABAS_Leisure_suppongo,ABAS_Selfcare,ABAS_Selfcare_suppongo,ABAS_Selfdirection,ABAS_Selfdirection_suppongo,ABAS_soc,ABAS_soc_suppongo,BRIEF_Inhibit,BRIEF_SelfMonitor,BRIEF_BRI,BRIEF_shift,BRIEF_Em_Con,BRIEF_ERI,BRIEF_Initiate,BRIEF_wm,BRIEF_plann,BRIEF_TaskMonitor,BRIEF_OrganizMaterial,BRIEF_CRI,CBT_F_SPAN_POST,CBT_B_SPAN_POST,TOL_TP_POST,TOL_TE_POST,TOL_TR_POST,TOL_ACC_POST,TOL_VIO_REG_POST,Raven_ACC_POST,RAVEN_T_POST,WM_SPAN_POST,WM_TRIAL_POST,WM_ACC_POST,PLANNING_TP_POST,PLANNING_TE_POST,PLANNING_TOT_POST,PLANNING_span_POST,PLANNING_trial_POST,PLANNING_ACC_POST,PLANNING_OST_POST,PLANNING_MATT_POST,PLANNING_MATTI_MIN_POST,PLANNING_PERC_POST,PWM_TP_POST,PWM_TE_POST,PWM_T_POST,PWM_TRIAL_POST,PWM_ACC_POST,PWM_OST_POST,PWM_MATT_POST,PWM_MATT_MIN_POST,PWM_PERC_POST,PLANNING_EFF_PRE,PLANNING_EFF_POST,PWM_EFF_PRE,PWM_EFF_POST
EXP14,1,F,7,1,exp,D,2,3,,0,0,21,127,148,18,5,17,395,2,4,1,52,188,240,8,8,16,0,67,61,"91,04",43,95,138,9,8,4,43,43,100,15,4,11,5,37,,32,,29,,43,,35,,48,,9,7,16,12,8,20,10,22,14,16,9,71,3,0,27,89,116,25,0,10,315,2,4,1,97,611,708,8,8,16,0,93,61,"65,59",30,186,216,7,7,3,44,38,"86,36",6,32,0,6
EXP15,1,F,7,1,exp,D,2,3,,4,0,79,82,161,23,3,16,355,1,2,0,36,224,260,8,8,16,0,65,61,"93,85",6,38,44,3,2,2,10,8,80,19,,15,1,24,,38,,34,,37,,37,,52,,8,7,15,15,8,23,10,22,15,18,11,76,3,0,64,146,210,24,0,17,390,2,3,2,72,296,368,8,8,16,0,73,61,"83,56",31,96,127,8,6,4,38,38,100,4,12,2,0
EXP16,1,F,6,1,exp,D,2,1,,4,5,70,136,206,27,1,23,373,1,2,0,40,212,252,8,8,16,0,87,61,"70,11",11,61,72,7,7,3,40,38,95,21,,13,2,40,,42,,36,,53,,58,,56,,8,5,13,10,8,18,7,12,10,9,7,45,4,0,31,87,118,24,0,23,356,1,2,0,52,294,346,8,8,16,0,91,61,"67,03",11,59,70,4,4,2,28,18,"64,29",26,30,2,10
GC03,1,M,5,0,gc,D,1,1,,0,0,92,172,264,18,6,10,391,2,4,1,91,401,492,8,10,14,2,79,62,"78,48",1,25,26,3,2,2,10,8,80,19,4,10,1,23,,26,2,30,2,33,,36,,34,1,14,9,23,12,14,26,8,15,12,11,7,53,3,3,76,181,257,20,9,7,380,2,3,2,158,406,564,8,8,16,0,63,61,"96,83",114,207,321,9,15,1,8,73,"912,5",17,2,2,-65
GC04,1,F,5,0,gc,D,1,1,,3,0,75,178,253,23,4,16,375,1,2,0,63,286,349,8,8,16,0,73,61,"83,56",49,47,96,5,3,3,24,18,75,26,5,24,1,48,3,39,3,45,2,48,3,59,1,58,,8,4,12,8,8,16,4,10,8,6,5,33,3,4,42,154,196,29,0,20,288,2,3,0,26,131,157,8,8,16,0,65,61,"93,85",89,67,156,6,5,3,31,29,"93,55",12,4,6,2
GC05,1,M,5,0,gc,D,1,1,,4,4,56,156,212,29,4,25,300,2,3,2,6,84,90,2,3,3,1,19,11,"57,89",7,59,66,5,3,3,21,19,"90,48",25,4,22,,48,,34,1,41,,42,2,44,,43,,14,9,23,8,8,16,7,16,11,6,2,42,4,4,33,143,176,34,1,26,370,5,6,4,37,111,148,8,8,16,0,67,61,"91,04",10,62,72,7,7,3,34,34,100,8,6,2,0
GC06,1,F,5,0,gc,D,1,1,,3,0,48,119,167,19,5,18,373,2,3,0,86,250,336,8,9,15,1,93,63,"67,74",6,25,31,4,1,3,11,9,"81,82",26,5,23,1,55,1,44,1,49,,47,2,52,,59,,8,5,13,8,8,16,4,8,7,5,2,26,4,0,90,128,218,30,0,20,343,3,5,3,45,214,259,8,8,16,0,87,61,"70,11",25,133,158,8,9,3,51,47,"92,16",30,26,2,4
GC07,1,M,5,0,gc,D,1,1,,4,0,80,192,272,23,6,17,368,2,4,1,43,135,178,8,8,16,0,63,61,"96,83",38427,-38408,19,3,2,2,8,8,100,17,,3,,20,,29,,28,,36,,40,,53,,12,7,19,17,18,35,9,13,4,3,3,32,0,3,115,169,284,26,3,20,327,1,2,0,67,155,222,8,9,15,1,53,60,"113,21",3,72,75,5,3,3,18,19,"105,56",2,-7,0,-1
GC08,1,F,5,0,gc,D,1,1,,5,4,28,81,109,19,4,23,404,3,2,4,52,166,218,8,8,16,0,81,61,"75,31",13,74,87,8,6,4,44,34,"77,27",15,1,14,1,30,,33,,42,1,44,,36,,52,,8,5,13,6,6,12,4,8,5,4,2,23,5,5,228,195,423,27,0,30,379,3,5,3,31,140,171,8,8,16,0,63,61,"96,83",37,51,88,7,7,3,38,36,"94,74",20,2,10,2
GC09,1,M,5,0,gc,D,1,1,,0,0,38,191,229,22,3,14,352,2,3,2,48,225,273,8,8,16,0,77,61,"79,22",10,50,60,4,4,2,22,18,"81,82",19,,8,,12,,30,,33,,38,,33,,50,,9,7,16,7,8,15,5,8,4,3,3,23,4,3,73,127,200,29,2,16,294,4,5,4,58,120,178,8,8,16,0,61,61,"112,96",34,52,86,6,5,3,34,28,"82,35",16,0,4,6
